_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2c69f0a5bc6c426c08da,Persona,1966,85 min,"Drama, Thriller",8.1,4.735803559644992,A nurse is put in charge of a mute actress and finds that their personae are melding together.,86.0,Ingmar Bergman,"['Bibi Andersson', 'Liv Ullmann', 'Margaretha Krook', 'Gunnar Björnstrand']",103191,2022-04-17 15:04:09.608,2022-04-17 15:04:09.608
625c2dfff0a5bc6c426c0d4e,Repulsion,1965,105 min,"Drama, Horror, Thriller",7.7,3.282629877129941,A sex-repulsed woman who disapproves of her sister's boyfriend sinks into depression and has horrific visions of rape and violence.,91.0,Roman Polanski,"['Catherine Deneuve', 'Ian Hendry', 'John Fraser', 'Yvonne Furneaux']",48883,2022-04-17 15:10:55.374,2022-04-17 15:10:55.374
625c2c1af0a5bc6c426c082e,Room,2015,118 min,"Drama, Thriller",8.1,1.8917269608571097,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",86.0,Lenny Abrahamson,"['Brie Larson', 'Jacob Tremblay', 'Sean Bridgers', 'Wendy Crewson']",371538,2022-04-17 15:02:50.074,2022-04-17 15:02:50.074
625c2c61f0a5bc6c426c08ce,Chinatown,1974,130 min,"Drama, Mystery, Thriller",8.1,0.7281021825703771,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",92.0,Roman Polanski,"['Jack Nicholson', 'Faye Dunaway', 'John Huston', 'Perry Lopez']",294230,2022-04-17 15:04:01.280,2022-04-17 15:04:01.280
625c2d8df0a5bc6c426c0bb4,Gattaca,1997,106 min,"Drama, Sci-Fi, Thriller",7.8,2.311791246259214,A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.,64.0,Andrew Niccol,"['Ethan Hawke', 'Uma Thurman', 'Jude Law', 'Gore Vidal']",280845,2022-04-17 15:09:01.127,2022-04-17 15:09:01.127
625c2d60f0a5bc6c426c0b4a,Kokuhaku,2010,106 min,"Drama, Thriller",7.8,0.43141034546324675,A psychological thriller of a grieving mother turned cold-blooded avenger with a twisty master plan to pay back those who were responsible for her daughter's death.,,Tetsuya Nakashima,"['Takako Matsu', 'Yoshino Kimura', 'Masaki Okada', 'Yukito Nishii']",35713,2022-04-17 15:08:16.190,2022-04-17 15:08:16.190
625c2df7f0a5bc6c426c0d32,Le locataire,1976,126 min,"Drama, Thriller",7.7,2.5955015768692933,A bureaucrat rents a Paris apartment where he finds himself drawn into a rabbit hole of dangerous paranoia.,71.0,Roman Polanski,"['Roman Polanski', 'Isabelle Adjani', 'Melvyn Douglas', 'Jo Van Fleet']",39889,2022-04-17 15:10:47.554,2022-04-17 15:10:47.554
625c2e00f0a5bc6c426c0d56,Cape Fear,1962,106 min,"Drama, Thriller",7.7,3.4616819260258347,A lawyer's family is stalked by a man he once helped put in jail.,76.0,J. Lee Thompson,"['Gregory Peck', 'Robert Mitchum', 'Polly Bergen', 'Lori Martin']",26457,2022-04-17 15:10:56.272,2022-04-17 15:10:56.272
625c2c14f0a5bc6c426c0820,Pink,2016,136 min,"Drama, Thriller",8.1,1.2628514215356423,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",,Aniruddha Roy Chowdhury,"['Taapsee Pannu', 'Amitabh Bachchan', 'Kirti Kulhari', 'Andrea Tariang']",39216,2022-04-17 15:02:44.439,2022-04-17 15:02:44.439
625c2dcbf0a5bc6c426c0c6a,Gravity,2013,91 min,"Drama, Sci-Fi, Thriller",7.7,3.7862962570043326,Two astronauts work together to survive after an accident leaves them stranded in space.,96.0,Alfonso Cuarón,"['Sandra Bullock', 'George Clooney', 'Ed Harris', 'Orto Ignatiussen']",769145,2022-04-17 15:10:03.267,2022-04-17 15:10:03.267
625c2c1ff0a5bc6c426c083c,Gone Girl,2014,149 min,"Drama, Mystery, Thriller",8.1,1.7483286389528752,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",79.0,David Fincher,"['Ben Affleck', 'Rosamund Pike', 'Neil Patrick Harris', 'Tyler Perry']",859695,2022-04-17 15:02:55.897,2022-04-17 15:02:55.897
625c2d2df0a5bc6c426c0a9e,Mulholland Dr.,2001,147 min,"Drama, Mystery, Thriller",7.9,2.783593158371893,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",85.0,David Lynch,"['Naomi Watts', 'Laura Harring', 'Justin Theroux', 'Jeanne Bates']",322031,2022-04-17 15:07:25.559,2022-04-17 15:07:25.559
