_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2d8ef0a5bc6c426c0bba,Ed Wood,1994,127 min,"Biography, Comedy, Drama",7.8,3.8699283643050544,"Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent.",70.0,Tim Burton,"['Johnny Depp', 'Martin Landau', 'Sarah Jessica Parker', 'Patricia Arquette']",164937,2022-04-17 15:09:02.711,2022-04-17 15:09:02.711
625c2d5ff0a5bc6c426c0b48,The Big Short,2015,130 min,"Biography, Comedy, Drama",7.8,2.5633051372083413,In 2006-2007 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is.,81.0,Adam McKay,"['Christian Bale', 'Steve Carell', 'Ryan Gosling', 'Brad Pitt']",362942,2022-04-17 15:08:15.397,2022-04-17 15:08:15.397
625c2b6bf0a5bc6c426c06de,The Intouchables,2011,112 min,"Biography, Comedy, Drama",8.5,2.3490517401214794,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",57.0,Olivier Nakache,"['Éric Toledano', 'François Cluzet', 'Omar Sy', 'Anne Le Ny']",760360,2022-04-17 14:59:55.866,2022-04-17 14:59:55.866
625c2deaf0a5bc6c426c0cf6,Il postino,1994,108 min,"Biography, Comedy, Drama",7.7,4.044201471345559,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice.",81.0,Michael Radford,"['Massimo Troisi', 'Massimo Troisi', 'Philippe Noiret', 'Maria Grazia Cucinotta']",33600,2022-04-17 15:10:34.177,2022-04-17 15:10:34.177
625c2d5bf0a5bc6c426c0b2e,Pride,2014,119 min,"Biography, Comedy, Drama",7.8,3.2129165578376586,U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984.,79.0,Matthew Warchus,"['Bill Nighy', 'Imelda Staunton', 'Dominic West', 'Paddy Considine']",51841,2022-04-17 15:08:11.858,2022-04-17 15:08:11.858
625c2d54f0a5bc6c426c0b1e,M.S. Dhoni: The Untold Story,2016,184 min,"Biography, Drama, Sport",7.8,2.9895619449027633,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,,Neeraj Pandey,"['Sushant Singh Rajput', 'Kiara Advani', 'Anupam Kher', 'Disha Patani']",40416,2022-04-17 15:08:04.563,2022-04-17 15:08:04.563
625c2e0ef0a5bc6c426c0d9a,Philomena,2013,98 min,"Biography, Comedy, Drama",7.6,4.020541062522661,"A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent.",77.0,Stephen Frears,"['Judi Dench', 'Steve Coogan', 'Sophie Kennedy Clark', 'Mare Winningham']",94212,2022-04-17 15:11:10.655,2022-04-17 15:11:10.655
625c2d52f0a5bc6c426c0b16,Hidden Figures,2016,127 min,"Biography, Drama, History",7.8,3.712635787972105,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,74.0,Theodore Melfi,"['Taraji P. Henson', 'Octavia Spencer', 'Janelle Monáe', 'Kevin Costner']",200876,2022-04-17 15:08:02.060,2022-04-17 15:08:02.060
625c2decf0a5bc6c426c0d00,Malcolm X,1992,202 min,"Biography, Drama, History",7.7,4.619424228654964,"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam.",73.0,Spike Lee,"['Denzel Washington', 'Angela Bassett', 'Delroy Lindo', 'Spike Lee']",85819,2022-04-17 15:10:36.826,2022-04-17 15:10:36.826
625c2c21f0a5bc6c426c0840,Hacksaw Ridge,2016,139 min,"Biography, Drama, History",8.1,0.6937921818386383,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",71.0,Mel Gibson,"['Andrew Garfield', 'Sam Worthington', 'Luke Bracey', 'Teresa Palmer']",435928,2022-04-17 15:02:57.560,2022-04-17 15:02:57.560
